===========================
  Segment 9: type=sphere, RMSE=0.01658
File valve_0016_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01664
  Segment 1: type=complex, RMSE=0.01823
  Segment 2: type=complex, RMSE=0.01954
  Segment 3: type=complex, RMSE=0.01498
  Segment 4: type=plane, RMSE=0.02007
  Segment 5: type=tube, RMSE=0.01784
  Segment 6: type=complex, RMSE=0.02312
  Segment 7: type=tube, RMSE=0.01637
  Segment 8: type=plane, RMSE=0.01172
  Segment 9: type=complex, RMSE=0.01524
File valve_0017_lidar_classes.ply:
  Segment 0: type=plane, RMSE=0.02681
  Segment 1: type=complex, RMSE=0.01941
  Segment 2: type=complex, RMSE=0.02005
  Segment 3: type=tube, RMSE=0.01439
  Segment 4: type=complex, RMSE=0.02103
  Segment 5: type=complex, RMSE=0.02147
  Segment 6: type=complex, RMSE=0.02916
  Segment 7: type=tube, RMSE=0.01185
  Segment 9: type=sphere, RMSE=0.01546
File valve_0018_lidar_classes.ply:
  Segment 0: type=plane, RMSE=0.02335
  Segment 1: type=complex, RMSE=0.01987
  Segment 2: type=complex, RMSE=0.02143
  Segment 3: type=tube, RMSE=0.01510
  Segment 5: type=complex, RMSE=0.01904
  Segment 6: type=complex, RMSE=0.02663
  Segment 7: type=tube, RMSE=0.01115
  Segment 9: type=sphere, RMSE=0.01497
File valve_0019_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01764
  Segment 1: type=complex, RMSE=0.01975
  Segment 2: type=tube, RMSE=0.01349
  Segment 3: type=plane, RMSE=0.01573
  Segment 4: type=complex, RMSE=0.02151
  Segment 5: type=complex, RMSE=0.02033
  Segment 6: type=complex, RMSE=0.02728
  Segment 7: type=tube, RMSE=0.01849
  Segment 9: type=complex, RMSE=0.01556
File valve_0020_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01755
  Segment 1: type=complex, RMSE=0.01795
  Segment 2: type=tube, RMSE=0.01412
  Segment 3: type=complex, RMSE=0.02208
  Segment 4: type=complex, RMSE=0.01984
  Segment 5: type=plane, RMSE=0.01435
  Segment 6: type=complex, RMSE=0.02253
  Segment 7: type=tube, RMSE=0.01504
  Segment 9: type=complex, RMSE=0.01428
File valve_0021_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01810
  Segment 1: type=complex, RMSE=0.01842
  Segment 2: type=complex, RMSE=0.02212
  Segment 3: type=complex, RMSE=0.01720
  Segment 4: type=plane, RMSE=0.02302
  Segment 5: type=complex, RMSE=0.02105
  Segment 6: type=complex, RMSE=0.02775
  Segment 7: type=tube, RMSE=0.02671
  Segment 9: type=complex, RMSE=0.01710
File valve_0022_lidar_classes.ply:
  Segment 0: type=complex, RMSE=0.01626
  Segment 1: type=complex, RMSE=0.01730
  Segment 2: type=tube, RMSE=0.01314
  Segment 3: type=complex, RMSE=0.02434
  Segment 4: type=complex, RMSE=0.01729
